HoraIdx,FranjaHoraria,HoraInicioMin,HoraFinMin,ProductoIdx,ProductoID,Probabilidad,HoraProductoKey
10,18:00-19:00,1080,1140,10,Amasado,0.06869,1010
11,19:00-20:00,1140,1200,1,Marraqueta,0.18968,1101
11,19:00-20:00,1140,1200,2,Hallulla,0.16123,1102
11,19:00-20:00,1140,1200,3,Marraqueta_Integral,0.08942,1103
11,19:00-20:00,1140,1200,4,Hallulla_Integral,0.08346,1104
11,19:00-20:00,1140,1200,5,Pan_Hot_Dog,0.23262,1105
11,19:00-20:00,1140,1200,6,Ciabatta,0.07243,1106
11,19:00-20:00,1140,1200,7,Baguette,0.06338,1107
11,19:00-20:00,1140,1200,8,Dobladita,0.02301,1108
11,19:00-20:00,1140,1200,9,Bocado_de_Dama,0.01446,1109
11,19:00-20:00,1140,1200,10,Amasado,0.07029,1110
12,20:00-21:00,1200,1260,1,Marraqueta,0.2584,1201
12,20:00-21:00,1200,1260,2,Hallulla,0.21963,1202
12,20:00-21:00,1200,1260,3,Marraqueta_Integral,0.12183,1203
12,20:00-21:00,1200,1260,4,Hallulla_Integral,0.1137,1204
12,20:00-21:00,1200,1260,5,Pan_Hot_Dog,0.07624,1205
12,20:00-21:00,1200,1260,6,Ciabatta,0.03651,1206
12,20:00-21:00,1200,1260,7,Baguette,0.03196,1207
12,20:00-21:00,1200,1260,8,Dobladita,0.07039,1208
12,20:00-21:00,1200,1260,9,Bocado_de_Dama,0.04424,1209
12,20:00-21:00,1200,1260,10,Amasado,0.0271,1210
