HoraIdx,FranjaHoraria,HoraInicioMin,HoraFinMin,ProductoIdx,ProductoID,KgObjetivoHora,HoraProductoKey
11,19:00-20:00,1140,1200,3,Marraqueta_Integral,113.33,1103
11,19:00-20:00,1140,1200,4,Hallulla_Integral,113.33,1104
11,19:00-20:00,1140,1200,5,Pan_Hot_Dog,347.47,1105
11,19:00-20:00,1140,1200,6,Ciabatta,91.8,1106
11,19:00-20:00,1140,1200,7,Baguette,80.33,1107
11,19:00-20:00,1140,1200,8,Dobladita,29.17,1108
11,19:00-20:00,1140,1200,9,Bocado_de_Dama,18.33,1109
11,19:00-20:00,1140,1200,10,Amasado,98.63,1110
12,20:00-21:00,1200,1260,1,Marraqueta,126.19,1201
12,20:00-21:00,1200,1260,2,Hallulla,107.26,1202
12,20:00-21:00,1200,1260,3,Marraqueta_Integral,50.48,1203
12,20:00-21:00,1200,1260,4,Hallulla_Integral,50.48,1204
12,20:00-21:00,1200,1260,5,Pan_Hot_Dog,37.23,1205
12,20:00-21:00,1200,1260,6,Ciabatta,15.13,1206
12,20:00-21:00,1200,1260,7,Baguette,13.24,1207
12,20:00-21:00,1200,1260,8,Dobladita,29.17,1208
12,20:00-21:00,1200,1260,9,Bocado_de_Dama,18.33,1209
12,20:00-21:00,1200,1260,10,Amasado,12.43,1210
