Time(Minutes);EntityID;ObjectName;ProcessID;StepName;Action
0;--;--;--;--;System initialization completed.
0;--;--;--;--;Time until next event of timer 'Source_InitModel.EntityArrivals' is '0' Minutes.
0;--;--;--;--;Time until next event of timer 'Source_LotesProduccion.EntityArrivals' is '0' Minutes.
0;--;--;--;--;Created object 'Worker_Manipulador_1[1]'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Begin];Process 'Worker_Manipulador_1[1].OnCreated' execution started.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Manipulador_1[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Manipulador_1[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Manipulador_1[1].OnEvaluatingSeizeRequest.Enabled' the value '1'. Previous value was '1'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Manipulador_1[1].OnEvaluatingSeizeRequest.ReturnValue' the value '1'. Previous value was '1'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Manipulador_1[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Manipulador_1[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Manipulador_1[1].HomeNode' the value 'Node_BaseManipulador'. Previous value was 'Nothing'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[End];Process 'Worker_Manipulador_1[1].OnCreated' execution ended.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnRunInitialized;[Begin];Process 'Worker_Manipulador_1[1].OnRunInitialized' execution started.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnRunInitialized;[Park] AtInitialNode;Entity 'Worker_Manipulador_1[1]' transferring from '[FreeSpace] Model_Panaderia' into station 'Node_BaseManipulador.ParkingStation'.
0;Worker_Manipulador_1[1];Node_BaseManipulador;1.OnEnteredParking;[Begin];Process 'Node_BaseManipulador.OnEnteredParking' execution started.
0;Worker_Manipulador_1[1];Node_BaseManipulador;1.OnEnteredParking;[EndTransfer] EndTransfer;Entity 'Worker_Manipulador_1[1]' ending transfer into station 'Node_BaseManipulador.ParkingStation'.
0;Worker_Manipulador_1[1];Node_BaseManipulador;1.OnEnteredParking;[End];Process 'Node_BaseManipulador.OnEnteredParking' execution ended.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnRunInitialized;[Decide] IfOnShift;Token branching on condition 'ResourceState!=List.ResourceStateName.OffShift'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnRunInitialized;[Decide] IfOnShift;Token sent to 'True' exit.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnRunInitialized;[PlanVisit] InitialMoveOrTransportRequests;Entity 'Worker_Manipulador_1[1]' searching 'Model_Panaderia.Global.VisitRequestQueue' which contains '0' request(s).
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnRunInitialized;[PlanVisit] InitialMoveOrTransportRequests;Entity 'Worker_Manipulador_1[1]' failed to find and plan an eligible visit request.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnRunInitialized;[End];Process 'Worker_Manipulador_1[1].OnRunInitialized' execution ended.
0;--;--;--;--;Firing event 'Source_InitModel.EntityArrivals.Event'.
0;--;--;--;--;Timer ‘Source_InitModel.EntityArrivals’ stopping condition detected.
0;Source_InitModel;Source_InitModel;0.OnEntityArrival;[Begin];Process 'Source_InitModel.OnEntityArrival' execution started.
0;Source_InitModel;Source_InitModel;0.OnEntityArrival;[Create] Entities;Creating '1' new object(s) of entity type 'ModelEntity1'.
0;Source_InitModel;Source_InitModel;0.OnEntityArrival;[Create] Entities;Created object 'ModelEntity1.56'.
0;ModelEntity1.56;Source_InitModel;1.OnEntityArrival;[Transfer] ToProcessing;Entity 'ModelEntity1.56' transferring from '[FreeSpace] Source_InitModel' into station 'Source_InitModel.Processing'.
0;Source_InitModel;Source_InitModel;0.OnEntityArrival;[End];Process 'Source_InitModel.OnEntityArrival' execution ended.
0;ModelEntity1.56;Source_InitModel;2.OnEnteredProcessing;[Begin];Process 'Source_InitModel.OnEnteredProcessing' execution started.
0;ModelEntity1.56;Source_InitModel;2.OnEnteredProcessing;[EndTransfer] IntoProcessing;Entity 'ModelEntity1.56' ending transfer into station 'Source_InitModel.Processing'.
0;ModelEntity1.56;Source_InitModel;2.OnEnteredProcessing;[Execute] CreatedEntityAddOnProcess;Executing process 'P_InitModel'.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Begin];Process 'P_InitModel' execution started.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Assign] Assign_InitVectors;Assigning state variable 'Model_Panaderia.StockSala[1]' the value '126,19'. Previous value was '0'.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Assign] Assign_InitVectors;Assigning state variable 'Model_Panaderia.DemandaTotal[1]' the value '0'. Previous value was '0'.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Assign] Assign_InitVectors;Assigning state variable 'Model_Panaderia.DemandaSatisfecha[1]' the value '0'. Previous value was '0'.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Assign] Assign_InitVectors;Assigning state variable 'Model_Panaderia.DemandaPerdida[1]' the value '0'. Previous value was '0'.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Assign] Assign_InitVectors;Assigning state variable 'Model_Panaderia.StockoutCount[1]' the value '0'. Previous value was '0'.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Assign] Assign_InitVectors;Assigning state variable 'Model_Panaderia.StockSala[2]' the value '107,26'. Previous value was '0'.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Assign] Assign_InitVectors;Assigning state variable 'Model_Panaderia.StockSala[3]' the value '50,48'. Previous value was '0'.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Assign] Assign_InitVectors;Assigning state variable 'Model_Panaderia.StockSala[4]' the value '50,48'. Previous value was '0'.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Assign] Assign_InitVectors;Assigning state variable 'Model_Panaderia.StockSala[5]' the value '26,06'. Previous value was '0'.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Assign] Assign_InitVectors;Assigning state variable 'Model_Panaderia.StockSala[6]' the value '15,13'. Previous value was '0'.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Assign] Assign_InitVectors;Assigning state variable 'Model_Panaderia.StockSala[7]' the value '13,24'. Previous value was '0'.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Assign] Assign_InitVectors;Assigning state variable 'Model_Panaderia.StockSala[8]' the value '29,17'. Previous value was '0'.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Assign] Assign_InitVectors;Assigning state variable 'Model_Panaderia.StockSala[9]' the value '18,33'. Previous value was '0'.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Assign] Assign_InitVectors;Assigning state variable 'Model_Panaderia.StockSala[10]' the value '12,43'. Previous value was '0'.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Assign] Assign_InitVectors;Assigning state variable 'Model_Panaderia.DemandaTotal[2]' the value '0'. Previous value was '0'.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Assign] Assign_InitVectors;Assigning state variable 'Model_Panaderia.DemandaTotal[3]' the value '0'. Previous value was '0'.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Assign] Assign_InitVectors;Assigning state variable 'Model_Panaderia.DemandaTotal[4]' the value '0'. Previous value was '0'.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Assign] Assign_InitVectors;Assigning state variable 'Model_Panaderia.DemandaTotal[5]' the value '0'. Previous value was '0'.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Assign] Assign_InitVectors;Assigning state variable 'Model_Panaderia.DemandaTotal[6]' the value '0'. Previous value was '0'.
0;ModelEntity1.56;Model_Panaderia;0.P_InitModel;[Assign] Assign_InitVectors;Assigning state variable 'Model_Panaderia.DemandaTotal[7]' the value '0'. Previous value was '0'.
