Time(Minutes);EntityID;ObjectName;ProcessID;StepName;Action
0;--;--;--;--;System initialization completed.
0;--;--;--;--;Time until next event of timer 'Timer_M7_PushTick' is '0' Minutes.
0;--;--;--;--;Time until next event of timer 'Source_InitModel.EntityArrivals' is '0' Minutes.
0;--;--;--;--;Number of event 'Evt_LiberarLoteProduccion' occurrences required to trigger next event of timer 'Source_LotesProduccion.EntityArrivals' is '1' occurrence(s).
0;--;--;--;--;Changing from AutoState 'Starved' to 'OffShift' on resource 'Resource_Panadero_1'.
0;--;--;--;--;Assigning state variable 'Resource_Panadero_1.ResourceState' the value '4'. Previous value was '0'.
0;--;--;--;--;Changing from AutoState 'Starved' to 'OffShift' on resource 'Worker_Manipulador_1[1]'.
0;--;--;--;--;Assigning state variable 'Worker_Manipulador_1[1].ResourceState' the value '4'. Previous value was '0'.
0;--;--;--;--;Changing from AutoState 'Starved' to 'OffShift' on resource 'Worker_Panadero_1[1]'.
0;--;--;--;--;Assigning state variable 'Worker_Panadero_1[1].ResourceState' the value '4'. Previous value was '0'.
0;--;--;--;--;Changing from AutoState 'Starved' to 'OffShift' on resource 'Worker_Panadero_2[1]'.
0;--;--;--;--;Assigning state variable 'Worker_Panadero_2[1].ResourceState' the value '4'. Previous value was '0'.
0;--;--;--;--;Changing from AutoState 'Starved' to 'OffShift' on resource 'Worker_Panadero_3[1]'.
0;--;--;--;--;Assigning state variable 'Worker_Panadero_3[1].ResourceState' the value '4'. Previous value was '0'.
0;--;--;--;--;Created object 'Worker_Manipulador_1[1]'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Begin];Process 'Worker_Manipulador_1[1].OnCreated' execution started.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Manipulador_1[1].OnEvaluatingRiderReservation.Enabled' the value '0'. Previous value was '1'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Manipulador_1[1].OnEvaluatingRiderReservation.ReturnValue' the value '0'. Previous value was '1'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Manipulador_1[1].OnEvaluatingSeizeRequest.Enabled' the value '0'. Previous value was '1'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Manipulador_1[1].OnEvaluatingSeizeRequest.ReturnValue' the value '0'. Previous value was '1'.
